TokenizedText;TF-IDF;TF-IDF sum;Words quantity;Label;True Label
['sanjay', 'raut', 'priyanka', 'uttar', 'pradesh'];[0.53856938 0.53856938 0.53856938 0.53856938 0.53856938];2.69284691927723;5;0;0
['sci', 'shooter', 'unity', '3d', 'unity3'];[0.53856938 0.53856938 0.53856938 0.53856938 0.53856938];2.69284691927723;5;1;1
['hello', 'little', 'studio', 'friend'];[0.59795423 0.42321173 0.44743923 0.49846923 0.        ];0.0;4;0;0
['released', 'podcast', 'spotify', 'go', 'check'];[0.44314513 0.47836338 0.47836338 0.30335113 0.30335113];2.0065741664454326;5;0;0
['book', 'book', '14', 'chk', 'lineup'];[0.76587827 1.4664238  0.53856938 0.53856938 0.53856938];3.082131953358281;5;0;0
['maybe', 'like', 'song', 'happy', 'way'];[0.44314513 0.28751488 0.32273313 0.33029085 0.33029085];1.7139748440398215;5;0;0
['unfolded', 'begin', 'tracking', 'weekly', 'compete'];[0.53856938 0.53856938 0.53856938 0.53856938 0.53856938];2.69284691927723;5;0;0
['includes', 'competent', 'technology', 'crypto', 'base'];[0.53856938 0.53856938 0.53856938 0.53856938 0.47836338];2.632640920144434;5;0;0
['work', 'screw', 'work', 'shrugging', 'upside'];[0.63156143 0.53856938 0.99717459 0.53856938 0.53856938];2.6128827410830704;5;0;0
['first', 'music', 'assembly', 'new', 'year'];[0.27412552 0.24314513 0.53856938 0.20987885 0.27008485];0.0;5;0;0
['sometimes', 'pretend', 'normal', 'boring', 'differently'];[0.39877538 0.53856938 0.53856938 0.47836338 0.53856938];2.4928469192772305;5;0;0
['nightmare', 'please', 'private', 'link', 'pick'];[0.53856938 0.47836338 0.53856938 0.44314513 0.47836338];2.4770106700677053;5;0;0
['cannot', 'rock', 'dress', 'full', 'link'];[0.36954978 0.36954978 0.35795139 0.39877538 0.44314513];1.9389714540620024;5;0;0
['asia', 'posing', 'obstacle', 'vibrant', 'region'];[0.53856938 0.53856938 0.53856938 0.53856938 0.53856938];2.69284691927723;5;0;0
['responding', 'violent', 'insurrection', 'protect', 'information'];[0.53856938 0.53856938 0.53856938 0.53856938 0.47836338];2.632640920144434;5;0;0
['introduce', 'reinterpreted', 'line', 'graphic', 'focus'];[0.53856938 0.53856938 0.41815739 0.53856938 0.47836338];2.512228921878841;5;0;0
