TokenizedText;TF-IDF;TF-IDF sum;Words quantity;TF-IDF mean;Label;True Label
['release', 'release', 'applemusic', 'buddy', 'graysparkaudio'];[0.83631477 1.74855599 0.53856938 0.53856938 0.53856938];2.6429190726468175;20;0.8401157827958919;0;0
['africa', 'champion', 'league', 'scorer', 'performer'];[0.44314513 0.44314513 0.47836338 0.53856938 0.53856938];2.3539429600294053;6;0.4883584836513138;1;1
['commentary', 'soccer', 'v', 'men', 'soccer'];[0.53856938 1.07713877 0.47836338 0.39877538 2.90056981];3.8450194592957887;6;1.0786833463083156;1;1
['rebooted', 'rebooted', 'died', 'got', 'rebooted'];[ 1.61570815  4.35085472  0.44314513  0.33029085 11.71618572];36.97252080794438;25;3.6912369148710096;0;0
['believe', 'time', 'drawing', 'tawna', 'crash'];[0.41815739 0.27836338 0.41815739 0.53856938 0.53856938];2.0483672835543136;6;0.4383633847226498;0;0
['rock', 'roll', 'win'];[0.61591629 0.73857522 0.63823189 0.         0.        ];1.9927234042380422;3;0.6642411347460141;0;0
['find', 'latest', 'chanel', 'brand', 'saving'];[0.41815739 0.44314513 0.53856938 0.44314513 0.53856938];2.200473167704009;9;0.4763172838247545;0;0
['snippet', 'gameplay', 'footage', 'tonight', 'playtest'];[0.53856938 0.47836338 0.47836338 0.39877538 0.53856938];2.432640920144434;5;0.4865281840288868;0;0
['resolution', 'goal', 'let', 'know', 'comment'];[0.44314513 0.44314513 0.33029085 0.2924796  0.38293913];1.7318655922924755;7;0.37839996920106733;1;1
['burned', '482', 'billion', 'ryoshis', 'vision'];[0.53856938 0.53856938 0.47836338 0.53856938 0.53856938];2.4303006011375348;8;0.5265281840288868;0;0
['fastest', '100', 'meter', 'para', 'skater'];[0.44314513 0.44314513 0.53856938 0.53856938 0.53856938];2.3832915032053523;6;0.500399683477873;1;1
['effort', 'representative', 'oriented', 'sneak', 'peek'];[0.53856938 0.53856938 0.53856938 0.53856938 0.53856938];2.140868615433566;18;0.5385693838554461;0;0
['custom', 'hoodies'];[1.04539346 1.19590846 0.         0.         0.        ];2.2413019257812583;2;1.1206509628906292;0;0
['good', 'song'];[0.82572712 0.80683284 0.         0.         0.        ];1.6325599536743052;2;0.8162799768371526;0;0
['positive', 'thought', 'silent', 'prayer', 'change'];[0.44314513 0.47836338 0.53856938 0.53856938 0.39877538];2.2019665411285505;7;0.47948453366665955;0;0
['wagon', 'step', 'inside', 'roomy', 'tardis'];[0.53856938 0.53856938 0.53856938 0.53856938 0.53856938];2.276252124666951;21;0.5385693838554461;0;0
['favorite', 'sport', 'model', 'elisarose', 'sg'];[0.47836338 0.28281866 0.41815739 0.53856938 0.53856938];2.2564782016882754;5;0.4512956403376551;1;0
['pablo', 'mari', 'weighing', 'brazil', 'return'];[0.53856938 0.53856938 0.53856938 0.53856938 0.47836338];2.5135222756910434;7;0.5265281840288868;1;1
['fifth', 'damn', 'guy', 'im', 'em'];[0.53856938 0.53856938 0.53856938 0.47836338 0.47836338];2.1817314257632963;10;0.5144869842023275;0;0
['training', 'mauritius', 'academy', 'sport'];[0.59795423 0.67321173 0.52269673 0.35352333 0.        ];2.147386022291037;4;0.5368465055727593;1;1
['chilly', 'outside', 'cozy', 'comfy', 'hoodies'];[0.53856938 0.53856938 0.53856938 0.53856938 0.47836338];2.1869466763200296;11;0.5265281840288868;0;0
['photographer', 'pink', 'calm', 'liar', 'tote'];[0.53856938 0.53856938 0.53856938 0.53856938 0.53856938];2.3070242278521134;13;0.5385693838554461;0;0
['involving', 'dj', '0kovic', 'dj0', 'kovic'];[0.53856938 0.53856938 0.53856938 0.53856938 0.53856938];2.5532581686029925;14;0.5385693838554461;1;1
['single', 'drop', 'week', '1', '21'];[0.41815739 0.44314513 0.33856938 0.34772088 0.44314513];1.7237111144641053;8;0.39814758344718154;0;0
['web', 'network', 'mustttt', 'followww', 'heat'];[0.53856938 0.53856938 0.53856938 0.53856938 0.53856938];2.3156257531303535;26;0.5385693838554461;0;0
['giant', 'floral', 'print', 'old', 'wallpaper'];[0.53856938 0.53856938 0.41815739 0.47836338 0.53856938];2.092236094568346;13;0.5024457843757684;0;0
['fps', 'zero', 'effect', 'pretty', 'cool'];[0.53856938 0.53856938 0.44314513 0.41815739 0.36954978];2.1985682574072123;6;0.4615982124129708;0;0
['girlfriend', 'took', 'hoping', 'shit', 'productive'];[0.53856938 0.53856938 0.53856938 0.53856938 0.53856938];2.0630698947069455;15;0.5385693838554461;0;0
['jungkook', 'spotify', 'ohmygod'];[0.89761564 0.79727231 0.89761564 0.         0.        ];2.5925035873892366;3;0.8641678624630788;0;0
['inspirational', 'momentous', 'overcoming', 'adversity', 'meaningful'];[0.53856938 0.53856938 0.53856938 0.53856938 0.53856938];2.3014984536798533;12;0.5385693838554461;1;1
['redemption', 'shirt', 'white', 'also', 'available'];[0.53856938 0.39877538 0.44314513 0.33029085 0.33029085];1.9490141506058873;6;0.4082143186805608;0;0
['haitian', 'hnp', 'custody', 'orlando', 'w'];[0.53856938 0.53856938 0.53856938 0.53856938 0.53856938];2.617589420361235;8;0.5385693838554461;0;0
['discussing', 'plan', 'band', '2022'];[0.67321173 0.67321173 0.67321173 0.3593936  0.        ];2.3790287930014036;4;0.5947571982503509;0;0
['india', 'strongest', 'ferocious', 'impactful', 'india'];[0.76587827 0.53856938 0.53856938 0.53856938 1.4664238 ];2.524956095994518;15;0.7696020441831433;0;0
['tip', 'cosplay', 'professional', 'idk', 'jankey'];[0.53856938 0.47836338 0.47836338 0.53856938 0.53856938];2.2772601800445083;8;0.5144869842023275;0;0
['th', 'th', 'th', 'th', 'yesmen'];[ 1.91345354  4.57663056 10.94646242 26.18193407  0.53856938];7.630904070924962;23;8.831409993240419;0;0
['simulate', 'deterioration', 'occurs', 'sufferer', 'dementia'];[0.53856938 0.53856938 0.53856938 0.53856938 0.53856938];2.533193037409496;19;0.5385693838554461;0;0
['mum', 'duty', 'glimpse', 'resistance', 'hill'];[0.53856938 0.53856938 0.53856938 0.53856938 0.53856938];2.5423319214452396;8;0.5385693838554461;1;1
['veer', 'savarkar', 'veer', 'savarkar', 'agree'];[1.07713877 1.07713877 2.90056981 2.90056981 0.53856938];3.652494033681478;15;1.6987973087611852;0;0
['stoker', 'faster', 'test', 'sprite', 'routine'];[0.53856938 0.53856938 0.53856938 0.53856938 0.53856938];2.5172083632231113;13;0.5385693838554461;0;0
['apple', 'apps', 'tv', 'electroneum', 'etn'];[0.53856938 0.53856938 0.53856938 0.53856938 0.53856938];2.194688050307471;12;0.5385693838554461;0;0
